listing_date,season,mls_number,neighborhood,address,list_price,sold_price,sell_list_ratio,dom,bedrooms,bathrooms,garage_type,house_type,sqft
2025-06-22,Summer,unknown,Address,736 Valour Road,0.0,0.0,0.0,0,3,1.5,"detached, double, pad, single",Living Area,0
2025-06-22,Summer,unknown,Address,1080 Downing Street,0.0,0.0,0.0,0,2,1.0,"detached, pad, single",Living Area,0
2025-06-22,Summer,unknown,Address,641 Spruce Street,0.0,0.0,0.0,0,3,2.5,"detached, pad, rear drive, single",Living Area,0
2025-06-22,Summer,unknown,Address,1090 Spruce Street,0.0,0.0,0.0,0,2,1.0,"detached, double, single",Living Area,0
2025-06-22,Summer,unknown,Address,745 Valour Road,0.0,0.0,0.0,0,2,1.0,"detached, double, pad, plug-in, rear drive, single",Living Area,0
2025-06-22,Summer,unknown,Address,1201 Clifton Street,0.0,0.0,0.0,0,3,1.5,"detached, double, rear drive, single",Living Area,0
2025-06-22,Summer,unknown,Address,1103 Strathcona Street,0.0,0.0,0.0,0,2,2.0,"carport, detached, pad, rear drive, single",Living Area,0
2025-06-22,Summer,unknown,Address,466 Banning Street,0.0,0.0,0.0,0,2,1.0,"attached, carport, detached, double, pad, plug-in, rear drive, single",Living Area,0
2025-06-22,Summer,unknown,Address,809 Downing Street,0.0,0.0,0.0,0,3,2.0,"detached, plug-in, rear drive, single",Living Area,0
2025-06-22,Summer,unknown,Address,673 Alverstone Street,0.0,0.0,0.0,0,2,1.0,"attached, detached, pad, plug-in, rear drive, single",Living Area,0
2025-06-22,Summer,unknown,Address,585 Clifton Street,0.0,0.0,0.0,0,3,2.0,"detached, rear drive, single",Living Area,0
2025-06-22,Summer,unknown,Address,660 Strathcona Street,0.0,0.0,0.0,0,4,1.0,"detached, double, pad, rear drive, single",Living Area,0
2025-06-22,Summer,unknown,Address,1336 Erin Street,0.0,0.0,0.0,0,2,1.0,"detached, pad, plug-in, rear drive, single",Living Area,0
2025-06-22,Summer,unknown,Address,639 Ingersoll Street,0.0,0.0,0.0,0,2,1.0,"detached, double, pad, plug-in, single",Living Area,0
2025-06-22,Summer,unknown,Address,1111 Garfield Street,0.0,0.0,0.0,0,2,2.0,"carport, detached, double, rear drive, single",Living Area,0
2025-06-22,Summer,unknown,Address,972 Ingersoll Street,0.0,0.0,0.0,0,3,1.0,"detached, pad, rear drive, single",Living Area,0
2025-06-22,Summer,unknown,Address,1847 Logan Avenue,0.0,0.0,0.0,0,3,2.0,"carport, detached, pad, rear drive, single",Living Area,0
